title,name,occ,sei,ssi
   1. Management government officials,Management government officials,1,68.451881,62.200001
   2. Company officers,Company officers,2,64.121567,61.799999
"   3. Officers of other corporations, organizations","Officers of other corporations, organizations",3,68.965759,68.800003
   4. Administrative and managerial workers of corporations and organizations,Administrative and managerial workers of corporations and organizations,4,65.252792,53
   5. Administrative and managerial workers not classified elsewhere,Administrative and managerial workers not classified elsewhere,5,50.128162,51
   6. Natural science researchers,Natural science researchers,6,68.257042,70.5
"   7. Humanities, social science, and other researchers","Humanities, social science, and other researchers",7,71.246132,75.599998
"   8. Agriculture, forestry, fishery and food engineers","Agriculture, forestry, fishery and food engineers",8,62.467365,55.799999
"   9. Electrical, electronic, telecommunications engineers (except communication network engineers)","Electrical, electronic, telecommunications engineers (except communication network engineers)",9,64.046021,56.200001
   10. Machinery engineers,Machinery engineers,10,63.776367,54.900002
   11. Transportation equipment engineers,Transportation equipment engineers,11,64.026169,56.599998
   12. Metal engineers,Metal engineers,12,65.421333,58
   13. Chemical engineers,Chemical engineers,13,67.675636,62.299999
   14. Architectural engineers,Architectural engineers,14,61.025257,57
   15. Civil engineers and surveyors,Civil engineers and surveyors,15,59.767265,53.799999
   16. System consultants and designers,System consultants and designers,16,63.547924,59.400002
   17. Software creators,Software creators,17,61.188984,55.799999
   18. Other data processing and communication engineers,Other data processing and communication engineers,18,61.936398,58.099998
   19. Other engineers,Other engineers,19,63.177673,56.700001
   20. Doctors,Doctors,20,77.542068,80.699997
   21. Dental surgeons,Dental surgeons,21,72.39856,77.900002
   22. Veterinary surgeons,Veterinary surgeons,22,69.845512,70.400002
   23. Pharmacists,Pharmacists,23,67.392616,70
   24. Public health nurses,Public health nurses,24,59.321617,65.900002
   25. Midwives,Midwives,25,57.290607,54
   26. Nurses (including assistant nurses),Nurses (including assistant nurses),26,53.877853,48
   27. Diagnostic radiographers,Diagnostic radiographers,27,60.587872,58.599998
   28. Clinical laboratory technicians,Clinical laboratory technicians,28,58.880745,60.700001
"   29. Physiotherapists, occupational therapists","Physiotherapists, occupational therapists",29,57.475777,57
"   30. Certified orthoptists, speech therapists","Certified orthoptists, speech therapists",30,58.820286,61.599998
   31. Dental hygienists,Dental hygienists,31,49.282379,51.400002
   32. Dental technicians,Dental technicians,32,54.250351,55.099998
   33. Nutritionists,Nutritionists,33,56.443501,56.099998
"   34. Masseurs, chiropractors, acupuncturists, moxacauterists and judo-orthopedists","Masseurs, chiropractors, acupuncturists, moxacauterists and judo-orthopedists",34,51.340527,61.200001
   35. Other health care workers,Other health care workers,35,53.72253,55.700001
   36. Childcare workers,Childcare workers,36,51.513535,53.799999
   37. Other social welfare specialist professionals,Other social welfare specialist professionals,37,57.072754,55.599998
"   38. Judges, public prosecutors and attorneys","Judges, public prosecutors and attorneys",38,73.586945,76.099998
   39. Patent attorneys and judicial scriveners40 Other legal workers,Patent attorneys and judicial scriveners40 Other legal workers,39,67.192368,75.199997
   40. Other legal workers,Other legal workers,40,63.687149,63.900002
   41. Certified public accountants,Certified public accountants,41,72.900864,70
   42. Licensed tax accountants,Licensed tax accountants,42,69.470482,70.599998
   43. Certified social insurance and labor consultant,Certified social insurance and labor consultant,43,63.343082,64.900002
"   44. Other management, finance, and insurance professionals","Other management, finance, and insurance professionals",44,66.89402,62.299999
   45. Kindergarten teachers,Kindergarten teachers,45,55.47633,59.099998
   46. Elementary school teachers,Elementary school teachers,46,69.164993,64.800003
   47. Junior high school teachers,Junior high school teachers,47,69.633835,65.599998
   48. Senior high school teachers,Senior high school teachers,48,70.246231,64.800003
   49. Special needs education school teachers,Special needs education school teachers,49,68.472015,64.199997
   50. University professors,University professors,50,73.02401,78.300003
   51. Other teachers,Other teachers,51,58.572174,57.599998
   52. Workers in religion,Workers in religion,52,60.593887,62.299999
   53. Authors,Authors,53,59.586681,67.5
"   54. Journalists, editors","Journalists, editors",54,64.11573,65.400002
"   55. Sculptors, painters and industrial artists","Sculptors, painters and industrial artists",55,47.128735,58
   56. Designers,Designers,56,54.949963,56.599998
"   57. Photographers, film operators","Photographers, film operators",57,52.048058,55.5
   58. Musicians,Musicians,58,51.371243,70.099998
"   59. Dancers, actors, directors and performers","Dancers, actors, directors and performers",59,57.525749,64.199997
   60. Librarians and curators,Librarians and curators,60,59.265724,65.699997
   61. Private tutors (for music),Private tutors (for music),61,47.789364,62.900002
"   62. Private tutors (for dance, actor, direction, performance)","Private tutors (for dance, actor, direction, performance)",62,43.706966,57.099998
   63. Private tutors (for sports),Private tutors (for sports),63,48.061386,56.099998
   64. Private tutors (for study),Private tutors (for study),64,54.53688,64.699997
   65. Private tutors (not classified elsewhere),Private tutors (not classified elsewhere),65,45.941288,61.200001
   66. Sports professionals,Sports professionals,66,53.098015,55.099998
   67. Communication equipment operators,Communication equipment operators,67,60.027725,54.900002
   68. Specialist professionals not classified elsewhere,Specialist professionals not classified elsewhere,68,59.721687,67.300003
   69. General affairs and human affairs workers,General affairs and human affairs workers,69,52.739723,54.5
   70. Reception and guidance clerical workers,Reception and guidance clerical workers,70,44.242378,56.400002
   71. Telephone receptionists,Telephone receptionists,71,46.407745,54
   72. Comprehensive clerical workers,Comprehensive clerical workers,72,50.44313,55.400002
   73. Other general clerical workers,Other general clerical workers,73,58.39254,58.599998
   74. Accountancy clerks,Accountancy clerks,74,50.792568,57.799999
   75. Production-related clerical workers,Production-related clerical workers,75,52.622688,47.5
   76. Sales clerks,Sales clerks,76,55.82962,52.799999
   77. Money collectors,Money collectors,77,42.947502,47.599998
   78. Investigators,Investigators,78,45.449982,60.599998
   79. Other outdoor service workers,Other outdoor service workers,79,41.960484,46.299999
   80. Transport clerical workers,Transport clerical workers,80,50.561237,44.700001
   81. Post clerical workers,Post clerical workers,81,48.515354,54.400002
   82. Personal computer operators,Personal computer operators,82,49.827499,51.700001
   83. Data entry device operators,Data entry device operators,83,45.698849,53.200001
   84. Other office appliance operators,Other office appliance operators,84,51.793602,52.700001
"   85. Retailers, retail manager","Retailers, retail manager",85,48.02993,50.5
"   86. Wholesalers, wholesale manager","Wholesalers, wholesale manager",86,50.498402,52.099998
   87. Shop assistants,Shop assistants,87,44.314762,46.599998
   88. Home visit and mobile sales workers,Home visit and mobile sales workers,88,39.862858,45.900002
